VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
Year,Year,Key Identifier,"",0,,"","",Year
YearCode,YearCode,Key Identifier,"",0,,"","",YearCode
Households that applied for a job card,I6026_4,Numeric Variable,Number,1,sum,WeighingRatio_NumberOfHouseholds,Number of House holds from Census,Households that applied for a Job Card A Job Card is an entitlement card issued to every household whose any adult member hasdemanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) and has shown willingness to do casualmanual labour
Job cards issued,I6026_5,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census, Job Cards issued under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Job cards issued for scheduled caste,I6026_6,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Job Cards issued for Scheduled Caste (SC) under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Job cards issued for scheduled tribes,I6026_7,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Job Cards issued for Scheduled Tribes (ST) under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Job cards issued for non scheduled tribes or scheduled caste,I6026_8,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Job Cards issued for non Scheduled Tribes (ST) or Scheduled Caste (SC) under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Households that demanded work,I6026_9,Numeric Variable,Number,1,sum,WeighingRatio_NumberOfHouseholds,Number of House holds from Census,Households that demanded work under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Persons who demanded work,I6026_10,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Persons who demanded work under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Households that were allotted work,I6026_11,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Households that were allotted work under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Persons that were allotted work,I6026_12,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Persons that were allotted work under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Muster rolls filled,I6026_13,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Muster Rolls filled under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) Muster Roll refers to the list of workers working on a unit site for attendance management
Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),I6026_14,Numeric Variable,Number,1,sum,WeighingRatio_NumberOfHouseholds,Number of House holds from Census,Households that worked under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),I6026_15,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Persons that worked under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Households that reached a 100 day limit,I6026_16,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Households that reached a 100 day limit under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA), every rural household, an adult member of which volunteers to do unskilled manual work, is entitled to at least 100 days of paid employment in a financial year"
Persons with disability,I6026_17,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Persons with disability
Non scheduled tribes or scheduled caste households that worked,I6026_18,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Non Scheduled Tribes (ST) or Scheduled Caste (SC) houeholds that worked under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Total person days worked by non scheduled tribes or scheduled caste persons,I6026_19,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Total person days worked by non Scheduled Tribes (ST) or Scheduled Caste (SC) persons whereas Person days are defined as a unit of measurement based on an ideal amount of work done by one person in one working day
Scheduled caste households that worked,I6026_20,Numeric Variable,Number,1,sum,WeighingRatio_NumberOfHouseholds,Number of House holds from Census,Scheduled Caste (SC) households that worked under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Total person days worked scheduled caste persons,I6026_21,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Total person days worked by Scheduled Caste (SC) persons whereas Person days are defined as a unit of measurement based on an ideal amount of work done by one person in one working day
Scheduled tribe households that worked,I6026_22,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Scheduled Tribe (ST) households that worked under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Total person days worked scheduled tribe persons,I6026_23,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Total person days worked by Scheduled Tribe (ST) persons whereas Person days are defined as a unit of measurement based on an ideal amount of work done by one person in one working day
Households that worked on land reform or indira awas yojana,I6026_24,Numeric Variable,Number,1,sum,WeighingRatio_NumberOfHouseholds,Number of House holds from Census,Households that worked on land reform or Indira Awas Yojana (IAY)
Total person days worked by women,I6026_25,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Total person days worked by women whereas Person days are defined as a unit of measurement based on an ideal amount of work done by one person in one working day
Total person days,I6026_26,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Total person days whereas Person days are defined as a unit of measurement based on an ideal amount of work done by one person in one working day
Scheduled caste households that reached a 100 day limit,I6026_27,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Scheduled Caste (SC) households that reached a 100 Day Limit under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA), every rural household, an adult member of which volunteers to do unskilled manual work, is entitled to at least 100 days of paid employment in a financial year"
Scheduled tribe households that reached a 100 day limit,I6026_28,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Scheduled Tribe (ST) households that reached a 100 Day Limit under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA), every rural household, an adult member of which volunteers to do unskilled manual work, is entitled to at least 100 days of paid employment in a financial year"
Labour expenditure that has been disbursed,I6026_29,Numeric Variable,INR (Indian Rupees),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Labour expenditure that has been disbursed in (Rs in Lakhs)
Material expenditure that has been disbursed,I6026_30,Numeric Variable,INR (Indian Rupees),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Material expenditure that has been disbursed in (Rs in Lakhs)
Labour expenditure both disbursed and pending,I6026_31,Numeric Variable,INR (Indian Rupees),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Labour expenditure that has been disbursed and also pending (Rs in Lakhs)
Material expenditure both disbursed and pending,I6026_32,Numeric Variable,INR (Indian Rupees),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Material expenditure that has been disbursed and is pending in (Rs in Lakhs)
Amount sanctioned,I6026_33,Numeric Variable,INR (Indian Rupees),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Amount sanctioned in (Rs in Lakhs)
Works under mahatma gandhi national rural employment guarantee act (mgnrega),I6026_34,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Works under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Total bank accounts,I6026_35,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Total bank accounts
Individual bank accounts,I6026_36,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Individual bank accounts
Joint bank accounts,I6026_37,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Joint bank accounts
Amount disbursed to bank accounts,I6026_38,Numeric Variable,INR (Indian Rupees),1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Amount disbursed to bank accounts
Post office accounts,I6026_39,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Post office accounts
Individual post office accounts,I6026_40,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Individual post office accounts
Joint post office accounts,I6026_41,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Joint post office accounts
Amount disbursed to post office accounts,I6026_42,Numeric Variable,INR (Indian Rupees),1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Amount disbursed to post office accounts
